Zipcode,Description,Total Population,Adjusted Gross Income,Average AGI per Capita 2018
98101,,9600,2087048,217400.83333333334
98102,,16930,2604052,99876.86331955109
98103,,30430,3851209,14582.9213276372
98105,,17810,2982020,73719.66850084222
98107,,17340,2060763,118844.46366782006
98109,,19740,3113911,59830.61276595745
98115,,28130,4045902,8854.080910060433
98116,,15560,2099035,134899.42159383034
98117,,18600,2628311,89605.17720430107
98119,,13730,2612733,122522.52702112163
98121,,11870,2149530,180744.50682392585
98122,,24320,2788655,61937.18322368421
98125,,21760,1937898,89057.8125
98133,,25460,1971483,77434.52474469757
98144,,16620,1821869,109619.0734055355
98199,,11420,2235790,180313.2483362522
