Zipcode,Description,Total Population,Adjusted Gross Income,Average AGI per Capita 2019
98101,,9450,2045917,216499.15343915345
98102,,16690,2502145,107418.9512282804
98103,,30310,3953467,11266.918376773343
98105,,17570,2910291,78809.12327831531
98107,,17480,2179673,121012.25949656751
98109,,19870,3135821,58336.502063412176
98115,,28890,4280750,492.11824160609206
98116,,15570,2270919,129996.67925497753
98117,,18720,2806459,79514.33205128205
98119,,13870,2554501,125484.23186733958
98121,,12010,2156644,178045.23696919234
98122,,24040,2893278,58306.54309484193
98125,,22340,2030462,90889.07788719785
98133,,26270,2062489,78511.1914731633
98144,,17070,1981803,116098.59402460456
98199,,11690,2219961,177502.6771599658
