Zipcode,Description,Total Population,Adjusted Gross Income,Average AGI per Capita 2017
98101,,9120,1888344,207055.26315789475
98102,,16650,2126432,127713.63363363364
98103,,29970,3474523,27375.51871871872
98105,,17670,2531435,99803.7518958687
98107,,16810,1794028,106723.85484830457
98109,,18170,2549664,96054.1164556962
98115,,27400,3638627,23954.025401459854
98116,,15250,1954612,128171.27868852459
98117,,18520,2296006,107935.27516198704
98119,,13410,2114111,157651.82699478
98121,,10950,1800835,164459.81735159818
98122,,23500,2395235,80839.67217021277
98125,,21250,1721795,81025.64705882352
98133,,25210,1766779,70082.46727489092
98144,,16190,1663054,102721.06238418777
98199,,11500,1962651,170665.30434782608
