Zipcode,Description,Total Population,Adjusted Gross Income,Average AGI per Capita 2020
98101,,9720,3104216,122505.27736625515
98102,,16110,2666406,101090.08665425202
98103,,29710,4346589,1737.5194883877482
98105,,16930,3255870,61376.0954518606
98107,,17250,2275518,117069.5244057971
98109,,19950,3397795,44971.04240601504
98115,,28760,4544342,8670.88678720445
98116,,15250,2252288,133946.1833442623
98117,,18410,2938225,73695.9422053232
98119,,13330,2364965,144786.36879219805
98121,,12010,2248293,170414.1795170691
98122,,23310,2990318,55969.51076791077
98125,,21990,2153561,97380.91386994088
98133,,25930,2173948,81797.89032009256
98144,,17350,2147999,123744.57037463976
98199,,11520,2547229,151713.39375
