,Zipcode,period_end,inventory
154,98116,2012-12-31,74.3
155,98116,2013-12-31,71.83333333333333
156,98116,2014-12-31,58.5
157,98116,2015-12-31,46.25
158,98116,2016-12-31,44.666666666666664
159,98116,2017-12-31,30.166666666666668
160,98116,2018-12-31,45.75
161,98116,2019-12-31,54.666666666666664
162,98116,2020-12-31,61.166666666666664
163,98116,2021-12-31,43.666666666666664
164,98116,2022-12-31,37.25
165,98116,2023-12-31,39.0
166,98116,2024-12-31,32.5
167,98117,2012-12-31,55.1
168,98117,2013-12-31,47.416666666666664
169,98117,2014-12-31,47.0
170,98117,2015-12-31,25.416666666666668
171,98117,2016-12-31,31.833333333333332
172,98117,2017-12-31,20.833333333333332
173,98117,2018-12-31,45.833333333333336
174,98117,2019-12-31,66.5
175,98117,2020-12-31,40.166666666666664
176,98117,2021-12-31,34.166666666666664
177,98117,2022-12-31,51.833333333333336
178,98117,2023-12-31,55.166666666666664
179,98117,2024-12-31,42.5
180,98118,2012-12-31,122.0
181,98118,2013-12-31,105.91666666666667
182,98118,2014-12-31,96.25
183,98118,2015-12-31,75.25
184,98118,2016-12-31,63.916666666666664
185,98118,2017-12-31,55.333333333333336
186,98118,2018-12-31,70.75
187,98118,2019-12-31,89.75
188,98118,2020-12-31,73.0
189,98118,2021-12-31,61.0
190,98118,2022-12-31,58.666666666666664
191,98118,2023-12-31,69.75
192,98118,2024-12-31,51.5
193,98119,2012-12-31,64.5
194,98119,2013-12-31,68.66666666666667
195,98119,2014-12-31,48.666666666666664
196,98119,2015-12-31,33.416666666666664
197,98119,2016-12-31,34.833333333333336
198,98119,2017-12-31,29.833333333333332
199,98119,2018-12-31,54.75
200,98119,2019-12-31,74.25
201,98119,2020-12-31,65.66666666666667
202,98119,2021-12-31,46.833333333333336
203,98119,2022-12-31,39.75
204,98119,2023-12-31,39.75
205,98119,2024-12-31,35.0
206,98121,2012-12-31,58.4
207,98121,2013-12-31,56.25
208,98121,2014-12-31,64.41666666666667
209,98121,2015-12-31,56.166666666666664
210,98121,2016-12-31,45.5
211,98121,2017-12-31,21.416666666666668
212,98121,2018-12-31,68.91666666666667
213,98121,2019-12-31,88.83333333333333
214,98121,2020-12-31,105.75
215,98121,2021-12-31,75.0
216,98121,2022-12-31,75.33333333333333
217,98121,2023-12-31,75.08333333333333
218,98121,2024-12-31,70.0
219,98122,2012-12-31,67.5
220,98122,2013-12-31,57.166666666666664
221,98122,2014-12-31,61.083333333333336
222,98122,2015-12-31,42.0
223,98122,2016-12-31,38.0
224,98122,2017-12-31,25.833333333333332
225,98122,2018-12-31,49.75
226,98122,2019-12-31,74.91666666666667
227,98122,2020-12-31,78.75
228,98122,2021-12-31,72.5
229,98122,2022-12-31,64.25
230,98122,2023-12-31,69.41666666666667
231,98122,2024-12-31,57.5
232,98125,2012-12-31,66.3
233,98125,2013-12-31,65.83333333333333
234,98125,2014-12-31,54.583333333333336
235,98125,2015-12-31,35.5
236,98125,2016-12-31,36.083333333333336
237,98125,2017-12-31,24.333333333333332
238,98125,2018-12-31,45.083333333333336
239,98125,2019-12-31,66.66666666666667
240,98125,2020-12-31,46.666666666666664
241,98125,2021-12-31,29.083333333333332
242,98125,2022-12-31,39.416666666666664
243,98125,2023-12-31,35.833333333333336
244,98125,2024-12-31,28.5
245,98126,2012-12-31,71.2
246,98126,2013-12-31,72.41666666666667
247,98126,2014-12-31,67.0
248,98126,2015-12-31,33.583333333333336
249,98126,2016-12-31,33.5
250,98126,2017-12-31,24.75
251,98126,2018-12-31,64.5
252,98126,2019-12-31,67.08333333333333
