Zipcode,Avg price per Zipcode 2017-2021
98101,698254.35
98102,1013767.6
98103,765469.1
98104,550100.2
98105,863281.4
98106,533400.15
98107,795666.45
98108,588026.4
98109,919703.55
98112,1045929.95
98115,761877.25
98116,768123.45
98117,776458.0
98118,575705.35
98119,914427.65
98121,632601.65
98122,806370.55
98125,609188.85
98126,599479.8
98133,572678.9
98136,652911.25
98144,715199.1
98146,436521.75
98177,707862.1
98178,422227.65
98199,851850.5
